Country Name,1960,1961,1962,2015,2016,2017
Afghanistan,356.5,350.5,344.8,73.1,70.4,67.9
United Arab Emirates,199.9,190.4,180.6,8.7,9,9.1
Austria,42.8,40.2,37.9,3.7,3.6,3.6
Bangladesh,259.2,252.8,247,36.4,34.3,32.4
Brazil,169.4,164.6,160.1,15.7,16.3,14.8
Canada,32.6,31.6,30.5,5.3,5.2,5.1
Spain,46.3,43,40.2,3.2,3.1,3.1
